source Names,source Company Placed,TargetEmail
Shivam Goyal,Wipro,shivamgoyal@ymail.com
Rudresh Nirwal,HCL,rudreshnirwal@ymail.com
Megha Gupta,Avizva,meghagupta@ymail.com
Amrit Sharma,Avizva,amritsharma@ymail.com
Manish Mishra ,Wipro,manishmishra@ymail.com
Tina Aggarwal,Telcom,tinaaggarwal@ymail.com
Apoorva Chaudhary,Yamaha,apoorvachaudhary@ymail.com
Mihir Dayal,AT&T,mihirdayal@ymail.com
Sarthak Chopra,Iconma,sarthakchopra@ymail.com
Akhil Seth,Avizva,akhilseth@ymail.com
Aditi Gupta ,Iconma,aditigupta@ymail.com
Deepanshu Jain,HCL,deepanshujain@ymail.com
Dinesh Bhasin,Irdeto,dineshbhasin@ymail.com
Reyhan Gupta,HCL,reyhangupta@ymail.com
Ankita Gupta,Telcom,ankitagupta@ymail.com
Rashi Sharma,Wipro,rashisharma@ymail.com
Priyavrat Singh,HCL,priyavratsingh@ymail.com
