Source-Name,Section,Target Email
Shagun Seth,CSE 8,shagunseth@gmail.com
Rahul Gupta,CSE 5,rahulgupta@gmail.com
Mehul Nanda,CSE 8,mehulnanda@gmail.com
Karan Saxena,CSE 2,karansaxena@gmail.com
Manoj Varma,CSE 4,manojvarma@gmail.com
Javed Habib,CSE 7,javedhabib@gmail.com
Amit Mishra,CSE 2,amitmishra@gmail.com
Shekhar Rana,CSE 5,shekharrana@gmail.com
Raman Narang,CSE 2,ramannarang@gmail.com
Utkarsh Jain,CSE 7,utkarshjain@gmail.com
Udit Pant,CSE 9,uditpant@gmail.com
Abhijeet Bhora,CSE 7,abhijeetbhora@gmail.com
Rishika Jain,CSE 8,rishikajain@gmail.com
Karanveer Singh,CSE 2,karanveersingh@gmail.com
Sourav Atta,CSE 5,souravatta@gmail.com
Manav Mangal,CSE 5,manavmangal@gmail.com
Rohit Raj ,CSE 3,rohitraj@gmail.com
Aditi Mittal,CSE 7,aditimittal@gmail.com
Siddhant Duggal,CSE 4,siddhantduggal@gmail.com
Shivam Bhatia,CSE 8,shivambhatia@gmail.com
