source Names,source Gender,Target Email
Saim Khan,Male,saimkhan@hotmail.com
Kanishak Anand,Male,kanishakanand@hotmail.com
Sanjana Singh,Female,sanjanasingh@hotfeil.com
Himani Jain,Female,himanijain@hotfeil.com
Deepak Kumar,Male,deepakkumar@hotmail.com
Kshitij Mittal,Male,kshitijmittal@hotmail.com
Anil Singh Malara,Male,anilsinghmalara@hotmail.com
Aman Kapoor,Male,amankapoor@hotmail.com
Rashi Gupta,Female,rashigupta@hotfeil.com
Rakshit Malik,Male,rakshitmalik@hotmail.com
Harshit Singh,Male,harshitsingh@hotmail.com
Madhavi Arora,Female,madhaviarora@hotfeil.com
Aashi Singh,Female,aashisingh@hotfeil.com
